origin,destination,weekday,start_hour,end_hour,trip_duration,date
1,1,Thu,13,14,40.13,27/3/20
4,4,Tue,15,15,35.11,11/3/20
0,0,Mon,8,8,10.06,17/3/20
3,3,Tue,6,6,30.12,25/3/20
1,1,Fri,16,16,15.05,20/3/20
4,4,Fri,8,9,10.03,20/3/20
1,1,Mon,21,21,20.09,24/3/20
3,4,Thu,11,11,10.05,13/3/20
3,2,Tue,7,7,25.08,25/3/20
5,3,Thu,4,5,35.16,13/3/20
1,5,Tue,8,9,35.12,25/3/20
2,3,Wed,16,0,517.02,26/3/20
3,1,Fri,7,13,391.42,20/3/20
3,3,Wed,7,8,30.11,12/3/20
4,5,Sun,13,14,30.11,9/3/20
3,3,Mon,7,7,15.05,31/3/20
3,3,Thu,9,9,45.15,27/3/20
3,3,Wed,0,0,15.06,12/3/20
5,1,Tue,13,13,25.08,11/3/20
4,4,Mon,20,21,25.09,10/3/20
3,3,Thu,8,8,30.12,27/3/20
5,5,Thu,6,6,20.07,20/3/20
5,5,Tue,3,3,5.02,11/3/20
3,3,Thu,7,9,70.24,20/3/20
1,1,Wed,15,16,65.22,19/3/20
4,4,Thu,16,18,110.36,27/3/20
7,7,Tue,19,19,5.02,18/3/20
3,7,Sat,8,8,25.08,29/3/20
7,3,Sat,15,16,30.1,15/3/20
1,3,Sun,11,11,30.1,23/3/20
2,3,Mon,18,19,60.25,17/3/20
1,0,Tue,4,4,20.09,18/3/20
1,6,Thu,8,9,30.12,20/3/20
0,1,Wed,14,14,20.07,19/3/20
7,2,Mon,10,10,40.17,17/3/20
3,7,Tue,18,19,45.19,18/3/20
7,7,Sat,11,12,35.13,15/3/20
7,1,Tue,1,1,35.15,18/3/20
3,7,Fri,22,23,25.11,20/3/20
1,7,Tue,4,4,35.12,1/4/20
1,7,Sun,19,19,50.18,16/3/20
4,4,Tue,14,14,10.03,11/3/20
3,3,Mon,7,8,10.03,10/3/20
3,1,Sat,16,16,20.07,15/3/20
3,3,Sat,12,12,10.03,22/3/20
4,4,Mon,19,20,30.1,10/3/20
3,3,Sun,21,21,45.15,30/3/20
6,6,Mon,19,20,40.15,24/3/20
1,1,Thu,13,13,25.08,27/3/20
6,6,Mon,11,12,65.22,24/3/20
3,3,Mon,19,19,10.03,10/3/20
5,5,Tue,13,13,20.07,18/3/20
6,6,Sat,8,10,75.26,29/3/20
6,6,Fri,7,8,15.03,20/3/20
5,5,Sat,14,14,25.09,22/3/20
7,7,Thu,15,15,30.11,20/3/20
3,1,Tue,23,0,20.09,25/3/20
6,3,Sun,20,21,25.08,30/3/20
0,4,Fri,14,14,25.09,20/3/20
7,3,Thu,18,18,25.09,20/3/20
3,7,Wed,16,16,30.1,19/3/20
1,4,Wed,11,23,697.53,26/3/20
3,0,Thu,19,19,20.08,20/3/20
7,7,Thu,8,11,180.71,20/3/20
2,4,Mon,15,16,30.11,17/3/20
3,2,Fri,22,23,35.15,20/3/20
0,0,Thu,19,20,45.16,20/3/20
0,0,Fri,11,12,45.16,20/3/20
1,3,Thu,14,14,20.07,27/3/20
5,5,Tue,7,7,15.05,18/3/20
6,6,Sat,10,10,10.03,29/3/20
4,5,Tue,12,12,10.04,18/3/20
3,3,Wed,13,13,15.05,19/3/20
5,4,Tue,11,11,45.16,18/3/20
4,3,Tue,8,8,20.07,11/3/20
3,3,Wed,15,15,20.07,19/3/20
3,3,Sat,12,13,20.08,8/3/20
4,5,Mon,20,20,20.08,17/3/20
3,3,Thu,10,10,10.03,27/3/20
3,3,Sat,12,12,20.06,22/3/20
1,1,Sat,18,18,15.06,8/3/20
3,3,Thu,10,10,15.04,27/3/20
3,1,Sat,16,17,55.23,8/3/20
3,3,Sat,15,15,15.06,8/3/20
7,7,Wed,17,17,15.05,19/3/20
5,3,Sat,8,9,30.12,8/3/20
3,1,Thu,12,13,50.17,27/3/20
3,5,Fri,22,22,10.04,20/3/20
3,3,Mon,15,15,15.05,31/3/20
3,4,Tue,16,16,55.19,25/3/20
6,4,Mon,9,10,20.07,31/3/20
4,5,Tue,17,18,45.16,25/3/20
5,6,Sun,21,21,45.16,23/3/20
3,4,Mon,7,7,20.07,10/3/20
0,0,Fri,17,18,20.07,20/3/20
4,4,Fri,9,10,25.09,20/3/20
0,0,Fri,19,19,15.05,20/3/20
4,4,Sun,10,11,20.07,23/3/20
1,1,Wed,15,15,5.02,12/3/20
3,1,Wed,14,14,10.03,12/3/20
3,3,Tue,10,11,80.27,18/3/20
4,4,Sun,12,13,90.33,9/3/20
0,1,Fri,13,14,35.1,20/3/20
1,0,Fri,15,15,10.03,20/3/20
1,1,Wed,15,15,10.03,12/3/20
3,3,Sun,18,18,20.07,23/3/20
4,4,Sun,20,21,60.22,16/3/20
7,0,Mon,4,4,15.06,10/3/20
7,7,Sat,21,21,20.07,29/3/20
7,7,Sat,14,15,35.12,29/3/20
0,7,Tue,9,10,30.11,11/3/20
2,1,Thu,18,0,381.67,13/3/20
6,7,Mon,20,20,25.09,10/3/20
3,7,Sun,14,15,20.07,30/3/20
3,1,Sun,14,14,35.17,23/3/20
3,7,Sat,13,14,35.12,29/3/20
7,3,Tue,12,12,25.07,11/3/20
3,3,Wed,9,10,10.03,19/3/20
1,4,Fri,8,8,15.06,20/3/20
5,5,Tue,17,18,20.08,18/3/20
